date,open,high,low,close,volume,interval,vol_zscore,single_candle,multi_candle,candle,CDL_open,CDL_high,CDL_low,CDL_close,CDL_body_size,CDL_shadow_ratio,range_to_body_ratio,type,cdl_emotion,cdl_strength,cdl_implication,cdl_direction,last_close,price_dir,price_chg
2025-06-23 14:00:00+05:30,517.95,518.4,517.35,518.25,9593,5minute,-0.38744410404852525,hammer,three_white_soldiers,three_white_soldiers,517.95,518.4,517.35,518.25,0.0005788712011576547,2.500000000000379,3.4998833372224714,bullish,decisive,strong,continuation,up,518.25,sideways,0.0
2025-06-23 14:05:00+05:30,518.1,518.25,517.5,517.95,8868,5minute,-0.4571476786561445,unknown,evening_star,evening_star,517.9,518.4,517.5,517.7,0.00038632412594153325,3.500000000001421,4.999666688888165,bearish,decisive,strong,reversal,down,517.7,sideways,0.0
2025-06-23 14:10:00+05:30,517.9,518.4,517.5,517.7,14940,5minute,0.5375111676643975,unknown,morning_star,morning_star,517.7,520.5,517.4,520.2,0.004805843906189927,0.2400000000000091,4.4997750112508585,bullish,decisive,strong,reversal,up,520.5,up,0.0
2025-06-23 14:15:00+05:30,517.7,520.5,517.4,520.2,55914,5minute,3.114157035026314,unknown,unknown,unknown,,,,,,,1.239995040019849,,,,,,,sideways,
2025-06-23 14:20:00+05:30,520.2,524.4,520.2,520.5,85710,5minute,2.850994425114985,bullish_belt_hold,unknown,bullish_belt_hold,520.2,524.4,520.2,520.5,0.0005763688760806043,13.000000000001895,13.999533348890264,bullish,decisive,moderate,reversal,up,520.5,sideways,0.0
2025-06-23 14:25:00+05:30,520.5,520.5,518.05,519.15,21074,5minute,-0.006318963229164755,bearish_belt_hold,bearish_engulfing,bearish_engulfing,520.5,520.5,518.05,519.15,0.0026004045073678567,0.814814814814818,1.814801371841693,bearish,decisive,strong,reversal,down,519.15,down,0.0
2025-06-23 14:30:00+05:30,518.95,520.0,518.55,519.0,38722,5minute,0.682042783800696,doji,morning_doji_star,morning_doji_star,519.0,520.45,518.55,520.45,0.0027860505331925166,0.3103448275862285,28.99420115979532,bullish,indecision,strong,reversal,up,521.7,up,0.2
2025-06-23 14:35:00+05:30,519.0,520.45,518.55,520.45,18026,5minute,-0.25416128970776963,unknown,unknown,unknown,,,,,,,1.3103357907876714,,,,,,,sideways,
2025-06-23 14:40:00+05:30,520.4,521.7,520.0,521.45,45575,5minute,0.8364234640022713,unknown,three_white_soldiers,three_white_soldiers,520.4,521.7,520.0,521.45,0.002013615878799632,0.6190476190475572,1.6190321996932744,bullish,decisive,strong,continuation,up,521.45,sideways,0.0
2025-06-23 14:45:00+05:30,521.05,521.75,519.75,520.75,25803,5minute,-0.09797435195824271,unknown,bearish_harami,bearish_harami,521.05,521.75,519.75,520.75,0.0005760921747478724,5.666666666667677,6.666444451852615,bearish,decisive,moderate,reversal,down,520.75,down,0.0
2025-06-23 14:50:00+05:30,521.05,521.8,520.15,520.65,26938,5minute,-0.09467223462545624,unknown,morning_star,morning_star,520.65,522.7,520.65,521.7,0.0020126509488212923,0.9523809523808905,4.124896877578238,bullish,decisive,strong,reversal,up,521.7,sideways,0.0
2025-06-23 14:55:00+05:30,520.65,522.7,520.65,521.7,38318,5minute,0.3433809882285432,bullish_belt_hold,unknown,bullish_belt_hold,520.65,522.7,520.65,521.7,0.0020126509488212923,0.9523809523808905,1.9523623584536671,bullish,decisive,moderate,reversal,up,521.7,sideways,0.0
2025-06-23 15:00:00+05:30,522.3,522.3,520.0,520.7,25413,5minute,-0.2805370784730074,bearish_belt_hold,unknown,bearish_belt_hold,522.3,522.3,520.0,520.7,0.00307278663337797,0.4375000000000533,1.4374910156812053,bearish,decisive,moderate,reversal,down,518.7,down,-0.11
2025-06-23 15:05:00+05:30,520.55,521.0,518.5,519.25,41463,5minute,0.4286787772122541,unknown,unknown,unknown,,,,,,,1.9230621302913726,,,,,,,sideways,
2025-06-23 15:10:00+05:30,518.95,519.0,517.85,518.7,39327,5minute,0.23454782566247837,hanging_man,unknown,hanging_man,518.95,519.0,517.85,518.7,0.00048197416618469245,3.599999999999909,4.599816007359615,bearish,decisive,moderate,reversal,down,518.7,sideways,0.0
2025-06-23 15:15:00+05:30,519.0,519.4,518.0,518.9,42167,5minute,0.2779435216875997,doji,unknown,doji,519.0,519.4,518.0,518.9,0.00019271535941418913,12.99999999999659,13.998600139982592,neutral,indecision,,reversal,trend,519.9,up,0.21
2025-06-23 15:20:00+05:30,518.75,518.9,517.3,518.8,71544,5minute,1.5840888082106133,doji,morning_doji_star,morning_doji_star,518.7,520.35,518.45,519.9,0.002308136180034491,0.5833333333334044,31.993601279773596,bullish,indecision,strong,reversal,up,519.9,sideways,0.0
2025-06-23 15:25:00+05:30,518.7,520.35,518.45,519.9,42038,5minute,0.10077058725773214,unknown,unknown,unknown,,,,,,,1.5833201389989127,,,,,,,sideways,
2025-06-24 09:15:00+05:30,530.0,534.75,529.05,529.05,214876,5minute,3.3452296528837664,shooting_star,unknown,shooting_star,530.0,534.75,529.05,529.05,0.001795671486627059,4.999999999999761,5.999936842769837,bearish,decisive,moderate,reversal,down,529.05,sideways,0.0
2025-06-24 09:20:00+05:30,530.0,541.85,529.9,540.7,210176,5minute,2.278617350711255,bullish_belt_hold,separating_lines_bullish,separating_lines_bullish,530.0,541.85,529.9,540.7,0.019789162197151922,0.11682242990654156,1.1168213861482368,bullish,decisive,strong,continuation,up,540.7,sideways,0.0
2025-06-24 09:25:00+05:30,541.0,541.1,532.25,537.1,144345,5minute,1.0918900901492388,bearish_belt_hold,unknown,bearish_belt_hold,541.0,541.1,532.25,537.1,0.007261217650344399,1.2692307692307883,2.2692249507052735,bearish,decisive,moderate,reversal,down,537.1,sideways,0.0
2025-06-24 09:30:00+05:30,537.1,546.45,536.8,540.0,264833,5minute,2.1213857561180105,inverted_hammer,unknown,inverted_hammer,537.1,546.45,536.8,540.0,0.005370370370370328,2.3275862068966093,3.3275747325009797,bullish,decisive,weak,reversal,up,540.0,sideways,0.0
2025-06-24 09:35:00+05:30,540.75,541.15,533.55,535.4,161369,5minute,0.7694569379593864,bearish_belt_hold,bearish_engulfing,bearish_engulfing,540.75,541.15,533.55,535.4,0.009992528950317563,0.4205607476635496,1.420558092414779,bearish,decisive,strong,reversal,down,535.4,sideways,0.0
2025-06-24 09:40:00+05:30,535.0,546.0,535.0,544.8,187532,5minute,0.9349150509706717,bullish_belt_hold,unknown,bullish_belt_hold,535.0,546.0,535.0,544.8,0.017988252569750285,0.12244897959184195,1.122447834236909,bullish,decisive,moderate,reversal,up,544.8,sideways,0.0
2025-06-24 09:45:00+05:30,544.0,548.0,542.35,542.75,292251,5minute,1.745381470373798,shooting_star,bearish_harami,bearish_harami,544.0,548.0,542.35,542.75,0.0023030861354214646,3.519999999999982,4.519963840289259,bearish,decisive,moderate,reversal,down,535.85,down,-1.22
2025-06-24 09:50:00+05:30,542.75,543.7,539.35,540.65,111188,5minute,-0.22790125666740832,unknown,unknown,unknown,,,,,,,2.0714187075299524,,,,,,,sideways,
2025-06-24 09:55:00+05:30,540.65,542.75,539.5,542.45,95407,5minute,-0.47843859942959166,unknown,unknown,unknown,,,,,,,1.8055455247470162,,,,,,,sideways,
2025-06-24 10:00:00+05:30,542.45,543.35,540.7,542.0,55477,5minute,-0.9611123469947439,unknown,evening_star,evening_star,542.0,542.15,539.2,540.85,0.0021262827031524032,1.5652173913043392,5.888758027598741,bearish,decisive,strong,reversal,down,535.85,down,-0.92
2025-06-24 10:05:00+05:30,542.0,542.15,539.2,540.85,45559,5minute,-1.0885496552331764,unknown,unknown,unknown,,,,,,,2.5651950852601195,,,,,,,sideways,
